date,open,high,low,close,volume
2015-10-22,56.1,58.12,55.74,58.09,21234227
2015-10-23,58.15,59.67,57.57,58.98,14490038
2015-10-26,58.9,59.23,58.4,58.81,7635541
2015-10-27,58.39,59.33,58.22,58.42,8420526
2015-10-28,58.52,58.78,57.19,58.67,14464608
2015-10-29,57.74,57.83,56.31,56.57,10108900
2015-10-30,56.99,57.0,56.4,56.72,7503400
2015-11-02,56.9,57.19,56.71,56.99,5492600
2015-11-03,56.99,57.43,56.81,57.15,4268400
2015-11-04,57.21,57.41,56.8,56.95,5096013
2015-11-05,57.0,57.74,56.83,57.4,5769318
2015-11-06,57.25,57.85,56.7,57.63,6387000
2015-11-09,57.23,57.65,56.86,57.21,4478217
2015-11-10,56.49,57.22,56.38,57.03,5058700
2015-11-11,57.47,58.51,57.04,57.6,6293112
2015-11-12,57.14,57.37,56.66,56.67,4894836
2015-11-13,56.67,57.12,56.01,56.13,5741726
2015-11-16,56.02,56.89,56.0,56.88,5995136
2015-11-17,56.9,57.48,56.75,57.07,4265800
2015-11-18,57.21,58.01,56.88,57.96,4029744
2015-11-19,58.1,58.29,57.5,57.95,4076247
2015-11-20,58.35,58.35,57.81,58.12,4252500
2015-11-23,58.2,58.25,57.31,57.35,4296800
2015-11-24,57.3,57.95,56.86,57.85,4655311
2015-11-25,57.85,57.86,57.23,57.27,3152600
2015-11-27,57.28,57.77,57.01,57.55,1509539
2015-11-30,57.62,58.34,57.5,58.12,5866600
2015-12-01,57.47,58.85,57.42,58.31,5016915
2015-12-02,58.2,58.33,57.44,57.55,5151500
2015-12-03,57.97,58.22,57.12,57.69,9691633
2015-12-04,57.52,58.96,57.49,58.88,6414224
2015-12-07,58.8,58.83,58.11,58.35,3934546
2015-12-08,57.76,57.91,57.02,57.67,3670100
2015-12-09,57.5,57.67,56.29,56.76,4562005
2015-12-10,56.98,57.47,56.63,56.93,4317848
2015-12-11,56.14,56.76,56.1,56.21,5251300
2015-12-14,56.45,56.72,55.83,56.22,5097663
2015-12-15,57.3,57.94,56.85,57.55,7602425
2015-12-16,58.26,58.26,56.9,58.07,5920900
